Лук,0.41,0.014,0.002,0.082
Картофель,0.77,0.02,0.004,0.163
Морковь,0.35,0.013,0.001,0.068
Свекла,0.44,0.017,0.002,0.088
Чеснок,1.49,0.065,0.005,0.299
Помидор,0.18,0.009,0.002,0.027
Капуста,0.28,0.018,0.002,0.047
Баклажан,0.24,0.012,0.001,0.045
Лимон,0.34,0.009,0.001,0.03
Грибы,0.28,0.022,0.005,0.053
Болгарский Перец,0.28,0.01,0.002,0.066
Перловка,3.42,0.114,0.028,0.771
Гречка,3.5,0.13,0.03,0.68
Фасоль,3.38,0.21,0.007,0.63
Рис,3.33,0.07,0.01,0.74
Макароны,3.57,0.125,0.018,0.75
Говядина,2.34,0.19,0.17,0
Фарш Говядина,2.72,0.27,0.17,0
Свинина,2.16,0.19,0.15,0
Фарш Свинина,2.97,0.26,0.21,0
Лосось,2.08,0.2,0.13,0
Курица,2.13,0.17,0.15,0
Куриная Грудка,1.2,0.23,0.026,0
Яйцо,1.44,0.126,0.096,0.007
Соль,0,0,0,0
Сахар,3.75,0,0,1
Томатный соус,0.236,0.012,0.004,0.065
Оливки,0.114,0.008,0.107,0.062
Каперсы,0.24,0.024,0.008,0.05
Солёные Огурцы,0.0675,0,0,0.018
Сливки,3.367,0.028,0.367,0.027
Молоко,0.61,0.032,0.032,0.049
Масло,7.143,0,0.786,0
Мёд,2.857б,0,0,0.809
Апельсин,0.43,0.009,0.002,0.081
Банан,0.9,0.015,0.005,0.21
Чернослив,2.444,0.022,0,0.644
Курага,2.5,0.025,0,0.6
Изюм,3.5,0.025,0,0.825